pushups,,,,,pullups,,,,,leg raises
,,,,,,,,,,
,,,,,,,,,,
wall pushups,,,,,wall pullups,,,,,knee raises
incline pushups,,,,,horizontal pullups,,,,,advanced knee raises
advanced incline pushups,,,,,advanced horizontal pullups,,,,,alternative leg raises
knee pushups,,,,,jackknife pullups,,,,,full leg raises
full pushups,,,,,full pullups,,,,,tuck plow raises
narrow pushups,,,,,narrow pullups,,,,,plow raises
side staggered pushups,,,,,one hand pullups,,,,,hanging knee raises
archer pushups,,,,,advanced one hand pullups,,,,,advanced hanging knee raises
slide one arm pushups,,,,,archer pullups,,,,,hanging leg raises
one arm pushup,,,,,one arm pullups,,,,,toe to bars
advanced one arm pushups,,,,,,,,,,
,,,,,,,,,,
,,,,,bridges,,,,,leg raises
squat,,,,,,,,,,
,,,,,,,,,,
,,,,,glute bridges ,,,,,straight leg twists
jackknife squats,,,,,straight bridges,,,,,bent leg twists
assisted squats,,,,,wall bridges,,,,,full twists
half squats,,,,,incline bridges,,,,,
full squats,,,,,head briges,,,,,
narrow suqats,,,,,full bridges,,,,,
side staggered squats,,,,,wheel bridges,,,,,
front staggered squats ,,,,,tap bridges,,,,,
assisted one leg squats,,,,,wall walking bridges,,,,,
one leg chair squats,,,,,stand to stand bridges,,,,,
one leg squats,,,,,,,,,,